,證券代碼,年月日,開盤價(元),最低價(元),最高價(元),收盤價(元),成交量(千股),報酬率％,SMA,WMA,Momentum,Stoch K%,Stoch D%,RSI,MACD,LW R%,A/D oscillator,CCI
103,Y9999 加權指數,2013-06-10,8161.51,8142.71,8190.87,8160.55,3216702,0.8073,8202.508,8169.911454545455,-102.49999999999909,32.53498879623876,24.422085513586907,44.42087511294848,34.44927543829993,67.46501120376125,1.9865033222591437,-52.27961437136566
104,Y9999 加權指數,2013-06-11,8178.95,8116.15,8178.95,8116.15,3208860,-0.5441,8187.817999999999,8154.21,-221.75,16.225250707122708,22.64976417943817,39.80703422414842,26.7145835918061,83.77474929287729,0.2929936305732418,-70.80666733893439
105,Y9999 加權指數,2013-06-13,8041.5,7951.66,8057.33,7951.66,3963143,-2.0267,8149.194,8111.272181818182,-291.630000000001,0.0,16.447446186864752,27.88481137151711,16.90696975266419,100.0,-0.5566385918425255,-190.28118704244463
106,Y9999 加權指數,2013-06-14,7978.75,7912.37,7989.19,7937.74,3627956,-0.1751,8118.639,8072.826,-317.0599999999995,6.010851280593232,14.394842406030895,27.121044101536786,6.053600017384014,93.98914871940677,0.4885446498307718,-165.4867182841974
107,Y9999 加權指數,2013-06-17,7953.65,7940.72,7999.43,7992.89,2784515,0.6948,8092.448000000001,8049.962545454546,-208.1300000000001,23.836589698046296,13.693095727135198,34.96289057143723,-4.02018901714166,76.1634103019537,1.0507579628683439,-104.90483506725087
108,Y9999 加權指數,2013-06-18,7994.81,7955.74,8024.95,8011.02,3118072,0.2268,8073.447999999999,8035.157454545455,-180.19999999999982,29.203670811130994,14.833345445459184,37.42238028657664,-12.778850918861007,70.796329188869,0.4632278572460551,-67.36991667958704
109,Y9999 加權指數,2013-06-19,8033.32,8005.57,8056.19,8007.39,3225517,-0.0453,8055.065,8023.146909090909,-174.51999999999953,31.262749226821267,16.517783985676676,37.11017297459617,-20.28286202586802,68.73725077317874,0.8923350454365717,-35.10486051242978
110,Y9999 加權指數,2013-06-20,7952.36,7890.93,7962.76,7898.91,3788215,-1.3547,8026.764999999999,7994.755090909091,-197.23000000000047,2.6605321064211425,15.332397382332028,29.059962228345604,-28.291615956731523,97.33946789357886,-0.6213281358763769,-106.64136881930199
111,Y9999 加權指數,2013-06-21,7778.84,7739.09,7815.79,7793.31,5261553,-1.3369,7996.481999999999,7952.308727272727,-301.8899999999994,12.001416618708284,16.226560146195823,23.537360107729143,-37.81720480541578,87.99858338129172,-1.0837027379400272,-177.86603030444462
112,Y9999 加權指數,2013-06-24,7788.45,7744.49,7815.1,7758.03,4014341,-0.4527,7962.764999999999,7908.953818181819,-402.52000000000044,4.192305989640889,15.792835523472357,21.986318748674304,-48.27084802236337,95.80769401035911,0.3085965160742074,-142.54764471916883
113,Y9999 加權指數,2013-06-25,7750.34,7663.23,7792.27,7663.23,4644435,-1.222,7913.033,7854.492909090909,-452.9200000000001,0.0,12.53933664384848,18.37177144950887,-60.16064009232608,100.0,0.26534407935524223,-140.08473120154716
114,Y9999 加權指數,2013-06-26,7789.34,7742.2,7821.14,7784.8,4465873,1.5864,7879.898000000001,7831.177818181819,-166.85999999999967,30.84750063435689,14.001561636571898,33.864028656549216,-70.25060327767935,69.15249936564311,2.000380035469974,-69.26116914407824
115,Y9999 加權指數,2013-06-27,7841.32,7834.33,7884.13,7883.9,4330119,1.273,7873.122,7831.905454545455,-53.840000000000146,56.155842833876235,19.617145919959523,43.565235649687196,-76.94233808740117,43.844157166123765,1.9945783132530033,-6.951128821786856
116,Y9999 加權指數,2013-06-28,7928.54,7891.06,8062.21,8062.21,4061176,2.2617,7885.569,7866.285090909091,69.31999999999971,99.99999999999999,29.016060791900195,56.362278793668196,-78.13313832844,-0.0,1.0418346479696219,80.5605661162762
117,Y9999 加權指數,2013-07-01,8011.95,7974.15,8063.47,8036.0,3796010,-0.3251,7889.879999999999,7893.636181818181,24.979999999999563,93.13661802918244,35.946063625013814,54.349449790910974,-76.05371965150675,6.863381970817562,0.01410658307210266,86.26307016214585
118,Y9999 加權指數,2013-07-02,8061.84,8012.79,8064.12,8015.86,3567903,-0.2506,7890.364,7916.541636363637,8.469999999999345,87.96178502831197,41.821875046731904,52.741326571491584,-72.18157780072889,12.038214971688044,0.5478277810247405,85.44056848335738
119,Y9999 加權指數,2013-07-03,7991.53,7899.08,7995.3,7911.42,3963116,-1.3029,7880.767000000002,7920.37,12.510000000000218,61.90975080446015,44.8865752044958,45.05933484914239,-68.89053865527288,38.09024919553985,-0.2136769902307154,35.109681011658836
120,Y9999 加權指數,2013-07-04,7919.26,7877.06,7927.08,7893.72,3447442,-0.2237,7880.248000000001,7922.725090909091,100.40999999999985,57.49457457157836,50.36997945101152,43.85646051602884,-66.26162282754596,42.50542542842164,0.3130747700919633,12.608753122362492
121,Y9999 加權指數,2013-07-05,7932.3,7926.35,8018.93,8001.82,3656516,1.3694,7901.099,7944.829090909092,243.78999999999996,84.45957744019553,57.615795533160245,52.4671722627823,-62.30982917323376,15.540422559804467,1.3524519334629523,57.344289827816326
122,Y9999 加權指數,2013-07-08,7980.11,7885.0,7992.16,7886.34,3350595,-1.4432,7913.9299999999985,7942.145636363636,223.11000000000058,55.653670582953026,62.76193199249146,44.38679525654048,-59.436440128756296,44.346329417046974,-0.09014557670772552,4.638569469987675
123,Y9999 加權指數,2013-07-09,7891.53,7891.37,7975.64,7971.18,3302962,1.0758,7944.725,7952.554727272727,186.3800000000001,71.12947316103393,69.87487930859484,50.59754299410017,-55.90056168393411,28.87052683896607,1.0596890945769517,7.509955225303039
124,Y9999 加權指數,2013-07-10,7974.99,7974.99,8057.92,8011.69,4075988,0.5082,7967.414,7964.730181818182,127.78999999999996,77.183515383611,74.50848078352027,53.36088922587228,-51.36108223045582,22.816484616389012,1.0459423610273662,71.16277589037458
125,Y9999 加權指數,2013-07-11,8080.97,8080.97,8179.54,8179.54,4830116,2.0951,7996.978,8003.298545454545,117.32999999999993,100.0,78.89289650013265,62.91170058800272,-43.63552110818944,-0.0,1.7028507659531384,193.363360944694
126,Y9999 加權指數,2013-07-12,8187.86,8169.92,8220.49,8220.49,3936625,0.5006,8012.806000000001,8043.93709090909,184.48999999999978,100.00000000000001,78.89289650013265,64.86223744339281,-33.56518488800184,-0.0,0.8097686375321348,174.84004604380894
127,Y9999 加權指數,2013-07-15,8178.26,8175.55,8254.68,8254.68,3758136,0.4159,8034.673999999999,8087.914181818182,238.82000000000062,99.99999999999999,79.57923469721439,66.49681675670548,-21.93110940000355,-0.0,0.43207380260331685,135.390167114888
128,Y9999 加權指數,2013-07-16,8243.62,8222.17,8260.11,8260.11,4025922,0.0658,8059.099,8128.902545454545,348.6900000000005,99.99999999999999,80.78305619438319,66.76960498038808,-9.790171981922096,-0.0,0.14312071692146067,105.48680738548381
129,Y9999 加權指數,2013-07-17,8239.1,8208.71,8260.25,8258.95,4398466,-0.014,8093.851999999999,8165.239090909091,365.2300000000005,99.66074271249268,84.55815538518644,66.64081102850679,2.035815332772361,0.33925728750731077,0.0027163368257550552,81.4269889558978
130,Y9999 加權指數,2013-07-18,8238.28,8181.99,8265.7,8194.88,4514844,-0.7758,8123.967999999999,8183.607818181818,193.0599999999995,81.39742579458854,86.94844050748746,59.58702051160041,12.017620762561549,18.60257420541145,0.0806355274160784,55.76395220222006
131,Y9999 加權指數,2013-07-19,8117.94,8046.7,8139.81,8062.03,4504053,-1.6211,8129.989,8172.346363636362,175.6899999999996,46.50118203309677,83.1526009667776,47.90479478769334,18.173331231674425,53.49881796690323,-0.5914509719686226,-26.16923978666213
132,Y9999 加權指數,2013-07-22,8092.03,8092.03,8137.37,8105.45,3453847,0.5386,8151.9,8167.884727272728,134.26999999999953,57.190179787887544,83.30625188727103,51.36728228434148,22.259547031369234,42.809820212112456,1.6616674018526667,-25.570785679662144
133,Y9999 加權指數,2013-07-23,8152.72,8145.09,8220.89,8214.65,4615604,1.3472,8176.247,8179.293818181819,202.96000000000004,82.43954456331019,84.43725902749867,58.98497945383274,26.52592569256992,17.560455436689804,1.5229551451187429,26.1440988585184
